mls_id,address,city,state,zip_code,price,bedrooms,bathrooms,sqft,lot_sqft,year_built,property_type,description,listing_url
MLS-001,"123 Maple Street","Ottawa","ON","K1A 0A1",549000,3,2,1850,4200,2005,"Single Family","Beautifully updated 3-bedroom home in a quiet neighbourhood. Open-concept main floor, chef's kitchen with granite countertops, and a finished basement. Walking distance to top-rated schools.",https://example.com/mls/001
MLS-002,"456 Oak Avenue","Ottawa","ON","K2B 5C3",620000,4,3,2200,5800,2012,"Single Family","Spacious 4-bedroom executive home with 3 full baths. Hardwood floors throughout, gourmet kitchen, and a large backyard deck. Minutes from shopping and transit.",https://example.com/mls/002
MLS-003,"789 Pine Road","Kanata","ON","K2K 1X7",480000,3,2,1620,3900,1998,"Single Family","Well-maintained family home with mature trees. New roof (2021), updated bathrooms. Close to parks and community centre.",https://example.com/mls/003
MLS-004,"1010 Cedar Blvd","Orleans","ON","K4A 3T2",510000,4,2,1950,4500,2003,"Single Family","4-bed home on a corner lot. Large eat-in kitchen, main-floor laundry, double garage. Close to schools and LRT station.",https://example.com/mls/004
MLS-005,"55 Birch Lane #12","Ottawa","ON","K1S 2M4",365000,2,2,980,,2018,"Condo","Modern 2-bedroom condo in the heart of the Glebe. In-suite laundry, underground parking, rooftop terrace. Walk to Lansdowne Park.",https://example.com/mls/005
MLS-006,"200 Elm Drive","Nepean","ON","K2J 0P2",595000,4,3,2100,5200,2010,"Single Family","Immaculate 4-bedroom, 3-bath home. Finished rec room, gas fireplace, newly landscaped yard. Ideal for growing families.",https://example.com/mls/006
MLS-007,"33 Willow Court","Barrhaven","ON","K2G 6H1",455000,3,2,1700,4100,2000,"Townhouse","End-unit townhouse with single garage. Updated kitchen, hardwood on main floor. Quiet cul-de-sac near Costco and shopping.",https://example.com/mls/007
MLS-008,"99 Aspen Way","Kanata","ON","K2M 2P4",680000,5,4,2800,7000,2015,"Single Family","Luxury 5-bed, 4-bath home in prestigious Kanata Lakes. Open-to-above great room, quartz counters, inground pool. Top school district.",https://example.com/mls/008
MLS-009,"14 Spruce Street","Ottawa","ON","K1Y 3R6",430000,3,1,1400,3200,1988,"Single Family","Charming 3-bedroom bungalow in Westboro. Original hardwood, updated kitchen. Large lot — great for a home addition or laneway suite.",https://example.com/mls/009
MLS-010,"321 Fir Crescent","Orleans","ON","K1E 1A9",530000,4,2,2000,4800,2007,"Single Family","Well-cared-for 4-bedroom home. Finished basement with full bath, sunken living room, double driveway. Close to CHEO and schools.",https://example.com/mls/010
MLS-011,"77 Larch Place","Gloucester","ON","K1T 3Z1",499000,3,2,1780,4300,2004,"Single Family","Stylish 3-bedroom home with open layout. Stainless appliances, stone fireplace, composite deck. Near Rideau River trail.",https://example.com/mls/011
MLS-012,"500 Poplar Terrace #5","Ottawa","ON","K1H 7K3",299000,1,1,650,,2020,"Condo","Brand-new 1-bed condo with stunning city views. Quartz counters, in-suite laundry, premium finishes. Pets welcome.",https://example.com/mls/012
